skin_tone,nail_shape,nail_length,style_preference,occasion,recommended_design
warm,stiletto,short,bold,work,Minimal Nude
warm,oval,short,minimal,date,Minimal Nude
cool,squoval,long,bold,party,Marble
warm,square,long,classic,party,Glitter Gold
cool,stiletto,long,bold,work,Cat Eye
neutral,oval,long,minimal,wedding,Terracotta Swirl
warm,round,short,classic,date,French Classic
neutral,square,medium,minimal,party,Terracotta Swirl
neutral,squoval,medium,bold,date,Cat Eye
warm,almond,short,classic,wedding,French Classic
warm,round,short,bold,date,Cat Eye
warm,stiletto,long,classic,date,Korean Pink
cool,almond,long,classic,wedding,Korean Pink
neutral,squoval,long,classic,daily,French Classic
cool,square,medium,bold,daily,Cat Eye
cool,squoval,long,classic,wedding,Korean Pink
cool,stiletto,long,minimal,party,Korean Pink
cool,round,medium,bold,daily,Cat Eye
neutral,squoval,medium,minimal,work,Minimal Nude
neutral,stiletto,medium,bold,party,Terracotta Swirl
warm,square,long,minimal,wedding,Glitter Gold
neutral,squoval,short,minimal,date,Minimal Nude
neutral,oval,medium,bold,daily,Cat Eye
warm,oval,short,classic,daily,French Classic
warm,squoval,long,classic,date,Korean Pink
cool,stiletto,medium,classic,work,Korean Pink
warm,squoval,short,bold,date,Cat Eye
warm,stiletto,short,classic,party,French Classic
neutral,square,short,classic,wedding,French Classic
neutral,coffin,medium,minimal,party,Terracotta Swirl
cool,square,long,bold,party,Marble
cool,stiletto,short,bold,work,French Classic
warm,stiletto,medium,minimal,wedding,Minimal Nude
neutral,stiletto,medium,classic,work,French Classic
warm,oval,long,bold,wedding,Glitter Gold
cool,round,long,classic,daily,Korean Pink
cool,stiletto,long,minimal,daily,Minimal Nude
cool,square,long,bold,party,Marble
cool,stiletto,long,bold,party,Marble
neutral,coffin,medium,bold,daily,Cat Eye
warm,coffin,long,classic,work,French Classic
cool,round,long,bold,daily,Cat Eye
neutral,square,short,minimal,wedding,Minimal Nude
cool,square,medium,classic,work,Korean Pink
cool,almond,long,minimal,work,Minimal Nude
neutral,stiletto,medium,bold,work,Cat Eye
neutral,oval,short,classic,wedding,French Classic
neutral,round,medium,classic,date,Korean Pink
cool,square,long,classic,party,Korean Pink
cool,stiletto,medium,minimal,party,Korean Pink
warm,oval,medium,bold,wedding,Glitter Gold
neutral,square,short,bold,party,Terracotta Swirl
neutral,stiletto,long,bold,daily,Terracotta Swirl
neutral,squoval,medium,minimal,date,Minimal Nude
warm,coffin,short,bold,wedding,Glitter Gold
neutral,stiletto,long,bold,work,Cat Eye
neutral,coffin,short,classic,party,Korean Pink
neutral,oval,short,classic,wedding,French Classic
warm,oval,short,bold,wedding,Glitter Gold
cool,stiletto,short,classic,party,Korean Pink
cool,coffin,medium,minimal,party,Korean Pink
warm,stiletto,short,bold,party,Glitter Gold
neutral,square,short,classic,daily,French Classic
warm,squoval,medium,bold,wedding,Glitter Gold
neutral,square,short,bold,work,French Classic
neutral,almond,medium,bold,work,Cat Eye
neutral,stiletto,medium,bold,wedding,Terracotta Swirl
warm,oval,short,minimal,wedding,Minimal Nude
warm,round,short,bold,work,Minimal Nude
cool,coffin,long,bold,date,Marble
neutral,coffin,short,classic,daily,French Classic
neutral,squoval,medium,minimal,wedding,Minimal Nude
cool,oval,medium,minimal,wedding,Korean Pink
neutral,square,short,classic,wedding,French Classic
warm,stiletto,medium,minimal,work,Minimal Nude
neutral,round,short,classic,work,French Classic
neutral,oval,short,bold,work,French Classic
warm,square,short,bold,daily,Minimal Nude
warm,oval,long,classic,work,French Classic
warm,oval,short,classic,work,French Classic
warm,oval,medium,minimal,work,Minimal Nude
neutral,round,long,minimal,party,Terracotta Swirl
cool,almond,long,minimal,party,Marble
neutral,round,long,bold,date,Terracotta Swirl
neutral,round,short,classic,party,French Classic
warm,squoval,long,classic,daily,French Classic
cool,almond,short,minimal,work,Minimal Nude
neutral,almond,long,bold,wedding,Terracotta Swirl
neutral,almond,medium,classic,date,Korean Pink
warm,stiletto,long,minimal,date,Minimal Nude
warm,squoval,medium,minimal,party,Minimal Nude
cool,squoval,medium,bold,daily,Cat Eye
cool,coffin,medium,classic,work,Korean Pink
cool,round,short,minimal,daily,Minimal Nude
neutral,coffin,medium,minimal,date,Cat Eye
neutral,square,long,minimal,party,Terracotta Swirl
neutral,stiletto,medium,bold,daily,Cat Eye
neutral,square,medium,minimal,date,Minimal Nude
warm,coffin,medium,minimal,daily,Minimal Nude
neutral,square,short,classic,date,French Classic
cool,stiletto,long,bold,date,Marble
neutral,round,long,bold,wedding,Marble
neutral,stiletto,medium,classic,wedding,Korean Pink
neutral,coffin,medium,minimal,work,Minimal Nude
warm,round,long,bold,work,Cat Eye
cool,square,short,classic,wedding,Korean Pink
neutral,almond,short,minimal,work,Minimal Nude
neutral,round,long,minimal,wedding,Terracotta Swirl
cool,squoval,long,classic,party,Korean Pink
neutral,round,medium,classic,daily,French Classic
neutral,almond,medium,bold,wedding,Marble
neutral,round,short,minimal,wedding,Minimal Nude
warm,stiletto,medium,classic,wedding,Korean Pink
cool,coffin,medium,minimal,work,Minimal Nude
neutral,oval,long,bold,wedding,Glitter Gold
warm,squoval,short,classic,daily,French Classic
neutral,squoval,long,classic,party,Terracotta Swirl
cool,round,medium,minimal,date,Korean Pink
neutral,square,short,classic,daily,French Classic
neutral,squoval,long,minimal,party,Terracotta Swirl
neutral,square,short,classic,work,Korean Pink
warm,almond,long,minimal,wedding,Glitter Gold
neutral,stiletto,short,minimal,daily,Minimal Nude
warm,oval,long,minimal,daily,Minimal Nude
neutral,squoval,medium,bold,date,Cat Eye
neutral,coffin,long,bold,wedding,Terracotta Swirl
neutral,square,short,classic,daily,French Classic
neutral,square,medium,bold,daily,Cat Eye
warm,square,medium,classic,daily,Minimal Nude
warm,coffin,short,bold,date,Cat Eye
cool,almond,long,bold,daily,Cat Eye
neutral,coffin,short,classic,date,French Classic
warm,round,medium,minimal,wedding,Minimal Nude
warm,almond,long,minimal,daily,Minimal Nude
cool,squoval,long,bold,date,Marble
cool,square,medium,classic,wedding,Korean Pink
warm,stiletto,long,bold,wedding,Glitter Gold
neutral,coffin,medium,classic,wedding,Korean Pink
neutral,almond,short,classic,daily,French Classic
warm,square,medium,bold,party,Glitter Gold
neutral,round,medium,bold,party,Terracotta Swirl
cool,stiletto,short,bold,date,Marble
cool,almond,medium,minimal,wedding,Korean Pink
warm,square,medium,minimal,work,Minimal Nude
warm,round,medium,minimal,date,Minimal Nude
neutral,almond,short,bold,wedding,Terracotta Swirl
neutral,oval,long,classic,work,French Classic
neutral,stiletto,long,minimal,party,Marble
neutral,coffin,short,classic,date,French Classic
neutral,stiletto,medium,minimal,date,Minimal Nude
cool,stiletto,short,classic,date,Korean Pink
cool,stiletto,medium,classic,date,Korean Pink
warm,stiletto,short,bold,work,Minimal Nude
warm,coffin,medium,classic,date,French Classic
neutral,stiletto,long,minimal,wedding,Terracotta Swirl
cool,squoval,long,minimal,party,Marble
cool,square,short,classic,daily,French Classic
cool,oval,medium,minimal,wedding,Korean Pink
cool,round,long,bold,wedding,Marble
warm,round,medium,classic,work,French Classic
cool,squoval,long,minimal,daily,Minimal Nude
warm,almond,long,bold,date,Glitter Gold
cool,oval,medium,minimal,daily,Minimal Nude
neutral,stiletto,long,classic,daily,French Classic
cool,almond,long,minimal,date,Korean Pink
neutral,oval,medium,classic,daily,French Classic
warm,almond,medium,minimal,daily,Minimal Nude
cool,round,long,bold,date,Marble
neutral,almond,short,classic,party,Korean Pink
cool,square,long,minimal,wedding,Marble
cool,oval,long,bold,daily,Cat Eye
neutral,stiletto,medium,minimal,daily,Minimal Nude
cool,stiletto,long,minimal,party,Marble
cool,coffin,short,minimal,daily,Minimal Nude
cool,round,medium,minimal,daily,Minimal Nude
warm,square,medium,bold,party,Glitter Gold
neutral,squoval,medium,minimal,work,Minimal Nude
warm,stiletto,long,classic,wedding,Glitter Gold
cool,squoval,medium,bold,party,Marble
cool,square,short,classic,party,Korean Pink
neutral,square,short,bold,party,Cat Eye
warm,almond,medium,classic,daily,Korean Pink
cool,square,medium,bold,party,Marble
cool,square,medium,minimal,wedding,Korean Pink
cool,square,long,minimal,daily,Minimal Nude
cool,square,long,bold,work,Cat Eye
warm,stiletto,long,bold,party,Glitter Gold
warm,stiletto,long,classic,wedding,Glitter Gold
neutral,round,long,minimal,party,Terracotta Swirl
cool,squoval,short,bold,work,French Classic
cool,square,long,classic,work,Korean Pink
warm,coffin,short,classic,date,French Classic
neutral,round,medium,classic,party,Korean Pink
neutral,square,long,classic,work,French Classic
warm,squoval,short,bold,party,Glitter Gold
neutral,stiletto,medium,bold,wedding,Terracotta Swirl
neutral,almond,medium,classic,work,French Classic
neutral,coffin,short,classic,date,French Classic
warm,stiletto,short,minimal,party,Terracotta Swirl
neutral,square,medium,bold,work,Cat Eye
warm,round,medium,classic,party,Glitter Gold
cool,stiletto,long,minimal,work,Minimal Nude
neutral,round,medium,classic,date,Korean Pink
neutral,coffin,long,minimal,work,Minimal Nude
warm,stiletto,short,bold,work,Minimal Nude
warm,square,long,minimal,wedding,Glitter Gold
neutral,square,short,classic,work,French Classic
neutral,square,short,bold,wedding,Terracotta Swirl
warm,almond,long,minimal,date,Minimal Nude
warm,oval,long,bold,date,Glitter Gold
neutral,round,short,minimal,daily,Minimal Nude
neutral,square,long,minimal,date,Minimal Nude
neutral,round,medium,bold,date,Cat Eye
cool,squoval,short,bold,party,Marble
warm,coffin,short,minimal,party,Minimal Nude
cool,oval,medium,bold,work,Cat Eye
neutral,square,long,classic,party,Terracotta Swirl
cool,almond,long,minimal,wedding,Marble
warm,square,medium,minimal,work,French Classic
cool,stiletto,long,classic,work,Korean Pink
warm,stiletto,medium,bold,wedding,Glitter Gold
warm,squoval,long,classic,party,Glitter Gold
cool,round,short,classic,date,Korean Pink
warm,oval,long,classic,daily,Minimal Nude
neutral,stiletto,long,bold,party,Terracotta Swirl
warm,stiletto,short,classic,work,French Classic
neutral,square,medium,classic,daily,French Classic
neutral,almond,short,classic,date,French Classic
cool,almond,medium,bold,wedding,Marble
neutral,coffin,long,minimal,work,Minimal Nude
cool,square,medium,bold,wedding,Marble
warm,almond,long,classic,date,Korean Pink
warm,coffin,medium,classic,date,French Classic
neutral,almond,short,classic,date,French Classic
cool,almond,long,classic,date,Korean Pink
neutral,almond,medium,bold,date,Cat Eye
warm,square,medium,bold,daily,Cat Eye
neutral,square,long,bold,daily,Terracotta Swirl
cool,coffin,long,bold,work,Cat Eye
neutral,squoval,short,bold,date,Cat Eye
cool,oval,long,minimal,daily,Minimal Nude
neutral,round,short,minimal,party,Minimal Nude
warm,squoval,long,minimal,party,Glitter Gold
neutral,squoval,long,bold,daily,Terracotta Swirl
neutral,oval,long,classic,party,Terracotta Swirl
cool,oval,medium,bold,wedding,Marble
neutral,stiletto,long,bold,wedding,Terracotta Swirl
warm,oval,medium,bold,wedding,Glitter Gold
cool,stiletto,medium,bold,work,Cat Eye
cool,square,medium,classic,date,Korean Pink
neutral,square,medium,minimal,date,Minimal Nude
cool,squoval,medium,minimal,wedding,Marble
warm,square,medium,bold,wedding,Glitter Gold
warm,oval,long,classic,date,Korean Pink
warm,round,long,bold,date,Glitter Gold
warm,coffin,long,minimal,work,French Classic
cool,coffin,medium,minimal,work,French Classic
warm,squoval,long,classic,party,Glitter Gold
cool,square,medium,bold,daily,Cat Eye
warm,coffin,long,minimal,date,Minimal Nude
warm,oval,medium,minimal,daily,Minimal Nude
cool,stiletto,medium,minimal,wedding,Korean Pink
warm,square,long,bold,daily,Glitter Gold
cool,square,medium,bold,date,Cat Eye
warm,stiletto,long,classic,wedding,Glitter Gold
warm,square,short,bold,party,Glitter Gold
neutral,oval,short,bold,wedding,Terracotta Swirl
neutral,coffin,short,minimal,date,Minimal Nude
cool,stiletto,medium,bold,wedding,Terracotta Swirl
warm,oval,short,classic,wedding,French Classic
warm,square,medium,minimal,party,Minimal Nude
cool,square,long,bold,date,Korean Pink
cool,coffin,short,minimal,daily,Minimal Nude
warm,squoval,long,bold,wedding,Glitter Gold
neutral,square,medium,bold,work,Cat Eye
warm,squoval,short,classic,date,French Classic
neutral,almond,medium,bold,work,Cat Eye
neutral,stiletto,long,minimal,date,Minimal Nude
neutral,square,short,bold,daily,Cat Eye
neutral,oval,long,bold,work,Cat Eye
neutral,squoval,short,bold,work,French Classic
cool,round,long,classic,daily,Korean Pink
neutral,squoval,medium,bold,daily,Cat Eye
neutral,stiletto,medium,bold,daily,Cat Eye
warm,coffin,short,bold,daily,French Classic
neutral,round,long,minimal,daily,Minimal Nude
cool,round,medium,classic,work,Korean Pink
neutral,coffin,long,classic,wedding,Korean Pink
cool,squoval,medium,classic,daily,French Classic
neutral,stiletto,long,minimal,wedding,Terracotta Swirl
neutral,squoval,long,minimal,work,Minimal Nude
warm,square,medium,bold,date,Cat Eye
cool,stiletto,short,minimal,party,Korean Pink
cool,oval,long,minimal,daily,Minimal Nude
cool,almond,short,minimal,work,Korean Pink
warm,squoval,long,bold,daily,Glitter Gold
warm,squoval,medium,minimal,date,Minimal Nude
warm,oval,long,classic,work,French Classic
neutral,almond,medium,bold,date,Cat Eye
cool,oval,medium,minimal,date,Korean Pink
cool,square,short,bold,date,Cat Eye
warm,coffin,long,classic,date,Korean Pink
cool,coffin,long,classic,date,Korean Pink
cool,squoval,short,classic,party,Korean Pink
neutral,squoval,short,minimal,wedding,Minimal Nude
warm,stiletto,medium,minimal,date,Minimal Nude
cool,almond,long,minimal,party,Marble
warm,square,long,minimal,party,Glitter Gold
warm,almond,long,minimal,daily,Minimal Nude
neutral,almond,long,minimal,daily,Minimal Nude
neutral,coffin,long,bold,work,Cat Eye
cool,square,short,minimal,work,Minimal Nude
warm,coffin,medium,minimal,date,Minimal Nude
cool,oval,long,classic,wedding,Korean Pink
neutral,coffin,medium,classic,wedding,Korean Pink
cool,squoval,short,bold,party,Marble
cool,oval,medium,classic,party,Korean Pink
neutral,oval,short,classic,date,French Classic
neutral,coffin,medium,classic,work,French Classic
warm,squoval,long,minimal,party,Glitter Gold
neutral,square,medium,classic,party,Korean Pink
neutral,stiletto,medium,minimal,work,Minimal Nude
cool,oval,long,bold,daily,Cat Eye
warm,stiletto,long,minimal,daily,Minimal Nude
neutral,oval,short,bold,work,Cat Eye
cool,square,short,bold,date,Cat Eye
neutral,squoval,short,minimal,date,Minimal Nude
warm,round,long,bold,wedding,Glitter Gold
cool,round,long,bold,party,Marble
warm,round,short,bold,work,Minimal Nude
neutral,almond,medium,classic,wedding,Korean Pink
warm,square,medium,classic,date,French Classic
neutral,oval,medium,bold,daily,Cat Eye
neutral,stiletto,short,minimal,party,Minimal Nude
neutral,squoval,short,bold,daily,French Classic
warm,squoval,medium,bold,wedding,Glitter Gold
warm,almond,short,minimal,work,Minimal Nude
neutral,almond,medium,classic,daily,French Classic
neutral,square,long,bold,daily,Terracotta Swirl
cool,round,short,bold,work,French Classic
neutral,stiletto,medium,minimal,wedding,Minimal Nude
warm,almond,medium,bold,date,Cat Eye
neutral,oval,long,bold,daily,Terracotta Swirl
cool,round,short,classic,work,French Classic
cool,almond,long,bold,party,Marble
cool,round,long,classic,party,Korean Pink
cool,almond,medium,classic,work,Korean Pink
neutral,squoval,short,bold,wedding,Terracotta Swirl
neutral,round,short,classic,work,French Classic
neutral,oval,long,classic,wedding,Korean Pink
warm,round,medium,classic,wedding,Korean Pink
warm,oval,short,minimal,party,Minimal Nude
neutral,almond,medium,minimal,daily,Korean Pink
warm,almond,long,classic,party,Terracotta Swirl
cool,stiletto,short,bold,date,Cat Eye
warm,almond,long,minimal,party,Glitter Gold
cool,square,medium,classic,work,French Classic
cool,squoval,medium,classic,daily,French Classic
warm,coffin,long,classic,date,Korean Pink
cool,round,short,classic,daily,French Classic
cool,stiletto,long,classic,wedding,Korean Pink
cool,stiletto,long,bold,work,Cat Eye
neutral,coffin,short,classic,wedding,French Classic
cool,square,medium,bold,party,Marble
warm,square,medium,classic,party,Glitter Gold
neutral,oval,long,bold,work,Cat Eye
neutral,round,long,classic,work,French Classic
cool,stiletto,long,minimal,party,Marble
warm,coffin,medium,minimal,wedding,Minimal Nude
neutral,squoval,medium,minimal,party,Terracotta Swirl
cool,almond,medium,bold,date,Cat Eye
neutral,squoval,long,minimal,wedding,Terracotta Swirl
neutral,almond,long,minimal,daily,Minimal Nude
neutral,coffin,medium,minimal,date,Cat Eye
neutral,coffin,medium,classic,party,Korean Pink
warm,square,short,bold,date,Cat Eye
neutral,almond,short,classic,wedding,French Classic
neutral,almond,long,bold,work,Cat Eye
warm,squoval,short,classic,party,French Classic
warm,round,long,minimal,wedding,Glitter Gold
cool,stiletto,short,bold,party,Marble
warm,squoval,long,bold,party,Glitter Gold
cool,round,long,minimal,daily,Minimal Nude
neutral,round,long,minimal,work,Minimal Nude
neutral,oval,medium,bold,party,Terracotta Swirl
warm,stiletto,medium,bold,work,Cat Eye
neutral,squoval,medium,minimal,date,Minimal Nude
cool,almond,medium,classic,daily,French Classic
warm,square,long,minimal,date,Minimal Nude
neutral,oval,medium,classic,work,French Classic
cool,coffin,medium,bold,wedding,Marble
neutral,squoval,long,minimal,wedding,Terracotta Swirl
cool,almond,short,bold,wedding,Marble
neutral,round,long,minimal,wedding,Terracotta Swirl
cool,round,short,classic,work,French Classic
cool,almond,short,bold,party,Marble
cool,coffin,long,bold,work,Cat Eye
cool,square,short,minimal,wedding,Korean Pink
neutral,round,medium,minimal,party,Terracotta Swirl
cool,almond,long,bold,party,Marble
cool,squoval,long,classic,party,Korean Pink
neutral,round,short,classic,daily,French Classic
neutral,square,short,classic,date,French Classic
cool,almond,long,minimal,date,Korean Pink
neutral,stiletto,medium,bold,daily,Cat Eye
cool,almond,short,classic,daily,French Classic
neutral,stiletto,short,classic,daily,French Classic
cool,stiletto,short,classic,daily,French Classic
warm,oval,long,bold,wedding,Glitter Gold
neutral,coffin,medium,minimal,date,Minimal Nude
warm,stiletto,short,minimal,date,Minimal Nude
cool,almond,long,minimal,wedding,Marble
cool,square,long,classic,date,Korean Pink
neutral,stiletto,short,minimal,party,Minimal Nude
cool,stiletto,long,minimal,work,Minimal Nude
neutral,square,short,bold,party,Terracotta Swirl
neutral,coffin,medium,bold,party,Terracotta Swirl
warm,coffin,short,classic,date,French Classic
neutral,square,medium,classic,wedding,Korean Pink
neutral,round,long,classic,wedding,Korean Pink
neutral,squoval,short,classic,work,French Classic
cool,stiletto,medium,classic,date,Korean Pink
neutral,stiletto,medium,classic,daily,Minimal Nude
cool,round,short,minimal,party,Korean Pink
cool,oval,long,minimal,wedding,Marble
cool,round,long,classic,wedding,Marble
neutral,oval,short,classic,wedding,French Classic
warm,squoval,long,minimal,daily,French Classic
warm,oval,long,minimal,date,Minimal Nude
warm,round,long,classic,daily,French Classic
cool,coffin,short,classic,daily,French Classic
warm,coffin,short,minimal,wedding,Minimal Nude
cool,oval,medium,minimal,work,French Classic
warm,almond,long,minimal,party,Glitter Gold
warm,coffin,long,minimal,party,Glitter Gold
cool,stiletto,short,minimal,daily,Minimal Nude
warm,almond,long,classic,wedding,Glitter Gold
cool,stiletto,short,minimal,wedding,Korean Pink
warm,almond,long,bold,date,Glitter Gold
neutral,round,long,classic,work,French Classic
neutral,oval,long,classic,wedding,Korean Pink
warm,squoval,medium,minimal,work,Minimal Nude
neutral,round,long,minimal,wedding,Terracotta Swirl
warm,squoval,long,classic,wedding,Glitter Gold
warm,stiletto,medium,minimal,daily,Minimal Nude
warm,square,short,minimal,daily,Minimal Nude
cool,almond,medium,bold,date,Cat Eye
cool,coffin,medium,minimal,date,Korean Pink
warm,square,short,classic,daily,French Classic
warm,stiletto,short,bold,wedding,Glitter Gold
neutral,stiletto,long,bold,daily,Terracotta Swirl
cool,coffin,short,minimal,work,French Classic
warm,squoval,long,bold,daily,Glitter Gold
neutral,coffin,long,minimal,daily,Minimal Nude
neutral,round,short,classic,wedding,French Classic
neutral,square,short,classic,work,French Classic
cool,coffin,short,minimal,wedding,Korean Pink
cool,almond,short,classic,date,Korean Pink
cool,squoval,long,classic,daily,Korean Pink
neutral,oval,medium,minimal,wedding,Minimal Nude
neutral,coffin,long,minimal,work,Minimal Nude
warm,round,short,minimal,daily,Minimal Nude
cool,oval,short,minimal,date,Minimal Nude
neutral,coffin,long,classic,work,French Classic
cool,coffin,medium,classic,daily,French Classic
warm,almond,long,minimal,work,Minimal Nude
neutral,round,medium,minimal,party,Terracotta Swirl
cool,square,short,bold,party,Marble
cool,almond,medium,bold,date,Cat Eye
cool,almond,medium,minimal,date,Korean Pink
warm,oval,short,classic,daily,French Classic
cool,coffin,long,minimal,wedding,Berry Jelly
cool,stiletto,long,bold,wedding,Marble
neutral,oval,medium,classic,daily,French Classic
warm,coffin,medium,minimal,daily,Minimal Nude
neutral,squoval,long,classic,party,Terracotta Swirl
warm,almond,short,bold,work,Minimal Nude
cool,round,long,bold,daily,Cat Eye
warm,oval,medium,classic,wedding,Korean Pink
cool,coffin,long,classic,wedding,Korean Pink
warm,round,short,minimal,date,Minimal Nude
